Title,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count,Year,Cast 1,Cast 2,Cast 3,director_name,Runtime,Genre_Action,Genre_Art&Foreign,Genre_Classics,Genre_Comedy,Genre_Documentary,Genre_Drama,Genre_Horror,Genre_Kids&Family,Genre_Mystery,Genre_Romance,Genre_SciFi,Rating_G,Rating_NC17,Rating_NR,Rating_PG,Rating_PG-13,Rating_R,cast1_oscar_nom,cast1_oscars,cast2_oscar_nom,cast2_oscars,cast3_oscar_nom,cast3_oscars,cast1_FB_likes,cast2_FB_likes,cast3_FB_likes,dir_oscar_nom,dir_oscars,director_awards,director_facebook_likes,cast_total_facebook_likes
Incredibles 2,94.0,370,84.0,18111,2018,Craig T. Nelson,Holly Hunter,Sarah Vowell,Brad Bird,118,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,4.0,1.0,0.0,0.0,723.0,1000.0,367.0,0.0,0.0,54.0,663.0,0.0
Mile 22,23.0,184,44.0,2680,2018,Mark Wahlberg,Lauren Cohan,Iko Uwais,Peter Berg,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,367.0,4000.0,1000.0,0.0,0.0,21.0,532.0,0.0
God Knows Where I Am,85.0,26,87.0,235,2017,Lori Singer,Linda Bishop,Paul Appelbaum,Jedd Wider,102,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Darkest Minds,16.0,136,73.0,2721,2018,Amandla Stenberg,Mandy Moore,Bradley Whitford,Jennifer Yuh Nelson,105,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,821.0,0.0,0.0,0.0,90.0,0.0
The Spy Who Dumped Me,49.0,204,57.0,3540,2018,Mila Kunis,Kate McKinnon,Justin Theroux,Susanna Fogel,116,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,370.0,1000.0,0.0,0.0,0.0,232.0,0.0
Mandy,90.0,235,66.0,4110,2018,Nicolas Cage,Andrea Riseborough,Linus Roache,Panos Cosmatos,120,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,12000.0,367.0,303.0,0.0,0.0,0.0,22.0,0.0
Sorry to Bother You,93.0,294,70.0,6000,2018,LaKeith Stanfield,Tessa Thompson,Armie Hammer,Boots Riley,105,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,431.0,367.0,0.0,0.0,0.0,232.0,0.0
Dovlatov,79.0,14,58.0,66,2018,Milan Maric,Danila Kozlovsky,Helena Sujecka,Alexey German,126,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Bill Murray Stories: Life Lessons Learned from a Mythical Man,95.0,19,77.0,293,2018,Joel Murray,Peter Farrelly,Gavin Edwards,Tommy Avallone,70,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Our House,60.0,25,26.0,173,2018,Thomas Mann,Nicola Peltz,Percy Hynes-White,Anthony Scott Burns,91,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
