Title,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count,Year,Cast 1,Cast 2,Cast 3,director_name,Runtime,Genre_Action,Genre_Art&Foreign,Genre_Classics,Genre_Comedy,Genre_Documentary,Genre_Drama,Genre_Horror,Genre_Kids&Family,Genre_Mystery,Genre_Romance,Genre_SciFi,Rating_G,Rating_NC17,Rating_NR,Rating_PG,Rating_PG-13,Rating_R,cast1_oscar_nom,cast1_oscars,cast2_oscar_nom,cast2_oscars,cast3_oscar_nom,cast3_oscars,cast1_FB_likes,cast2_FB_likes,cast3_FB_likes,dir_oscar_nom,dir_oscars,director_awards,director_facebook_likes,cast_total_facebook_likes
Black Butterfly,88.0,19,66.0,796,2017,Antonio Banderas,Jonathan Rhys Meyers,Piper Perabo,Brian Goodman,93,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
To the Bone,42.0,63,40.0,557,2017,Lily Collins,Carrie Preston,Lili Taylor,Marti Noxon,107,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,652.0,960.0,0.0,0.0,0.0,232.0,0.0
Killing Ground,100.0,66,88.0,599,2017,Aaron Pedersen,Harriet Dyer,Ian Meadows,Damien Power,89,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Resident Evil: Vendetta,76.0,7,44.0,917,2017,Matthew Mercer,Kevin Dorman,Erin Cahill,Takanori Tsujimoto,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
First Kill,43.0,17,47.0,745,2017,Bruce Willis,Hayden Christensen,Gethin Anthony,Steven C. Miller,97,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,4000.0,367.0,0.0,0.0,0.0,232.0,0.0
The Gracefield Incident,12.0,9,25.0,794,2017,Mathieu Ratthe,Kimberly Laferrire,Victor Andres Turgeon-Trelles,Mathieu Ratthe,89,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Sea,100.0,20,84.0,329,2013,Bonnie Wright,Charlotte Rampling,Ciarn Hinds,Stephen Brown,86,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,367.0,844.0,367.0,0.0,0.0,0.0,232.0,0.0
Notes on Blindness,50.0,38,39.0,89,2016,John Hull,Rafe Beckley,Celia Henebury,James Spinney,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Sin Alas,95.0,11,69.0,2480,2015,Carlos Padron,Mario Limonta,Yulisleyvs Rodrigues,Ben Chace,90,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Snatched,81.0,209,59.0,17114,2017,Amy Schumer,Goldie Hawn,Joan Cusack,Jonathan Levine,91,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,1.0,2.0,0.0,492.0,367.0,367.0,0.0,0.0,0.0,129.0,0.0
The Legend of Ben Hall,36.0,12,30.0,16456,2016,Jack Martin (XXVIII),Jamie Coffa,William Lee,Matthew Holmes (VI),139,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Dinner,50.0,140,76.0,228,2017,Richard Gere,Laura Linney,Steve Coogan,Oren Moverman,120,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,3.0,0.0,0.0,0.0,367.0,367.0,1000.0,0.0,0.0,0.0,38.0,0.0
Sleight,46.0,44,16.0,1792,2017,Jacob Latimore,Storm Reid,Seychelle Gabriel,J.D. Dillard,90,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,129.0,367.0,1000.0,0.0,0.0,0.0,232.0,0.0
Going in Style,77.0,166,52.0,5806,1979,George Burns,Art Carney,Lee Strasberg,Martin Brest,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,367.0,154.0,367.0,1.0,0.0,0.0,102.0,0.0
Wolves,48.0,27,57.0,13125,2014,Lucas Till,Stephen McHattie,John Pyper-Ferguson,David Hayter,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,413.0,367.0,0.0,0.0,0.0,512.0,13545.0
Godzilla Resurgence (Shin Godzilla),33.0,72,44.0,154,2016,Hiroki Hasegawa,Satomi Ishihara,Yutaka Takenouchi,Hideaki Anno,120,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,28.0,0.0
11:55,86.0,5,74.0,6671,2017,Victor Almanzar,Elizabeth Rodriguez,David Zayas,Ari J. Issler,80,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,929.0,0.0,0.0,0.0,232.0,0.0
The Exception (The Kaiser's Last Kiss),74.0,56,52.0,6874,2017,Lily James,Jai Courtney,Eddie Marsan,David Leveaux,107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,502.0,367.0,979.0,0.0,0.0,0.0,232.0,0.0
Kung-Fu Yoga,47.0,23,35.0,157,2017,Jackie Chan,Aarif Rahman,Sonu Sood,Stanley Tong,107,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,7.0,0.0
Some Freaks,95.0,12,60.0,153,2017,Lily Mae Harrington,Ely Henry,Lachlan Buchanan,Ian MacAllister McDonald,97,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Phoenix Forgotten,92.0,17,71.0,558,2017,Florence Hartigan,Chelsea Lopez,Justin Matthews (XIII),Justin Barber,80,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Hunter's Prayer,41.0,21,41.0,2238,2017,Sam Worthington,Odeya Rush,Allen Leech,Jonathan Mostow,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,2000.0,305.0,0.0,0.0,0.0,84.0,0.0
The Hippopotamus,33.0,14,23.0,347,2017,Roger Allam,Matthew Modine,Fiona Shaw,John Jencks,94,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,810.0,687.0,0.0,0.0,0.0,232.0,0.0
Chronically Metropolitan,57.0,10,50.0,194,2017,Shiloh Fernandez,Ashley Benson,Josh Peck,Xavier Manrique,90,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Armed Response,40.0,12,38.0,49,2017,Anne Heche,Wesley Snipes,Dave Annable,John Stockwell,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,643.0,367.0,642.0,0.0,0.0,0.0,134.0,0.0
Saban's Power Rangers,18.0,173,32.0,3713,2017,Dacre Montgomery,Naomi Scott,R.J. Cyler,Dean Israelite,124,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,16.0,0.0
Dying To Know: Ram Dass & Timothy Leary,50.0,9,65.0,43920,2014,Robert Redford,Dr. Timothy Leary,Dean Chamberlain,Gay Dillingham,99,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
No Stranger Than Love,78.0,14,83.0,188,2016,Alison Brie,Justin Chatwin,Colin Hanks,Nick Wernham,89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Growing Up Smith (Good Ol' Boy),7.0,11,16.0,244,2017,Jason Lee,Anjul Nigam,Brighton Sharbino,Frank Lotito,102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,3000.0,0.0,0.0,0.0,5.0,0.0
Admiral (Michiel de Ruyter),73.0,6,80.0,384,2016,Frank Lammers,Sanne Langelaar,Sanne Langelaa,Roel Rein,122,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
3 Generations,67.0,44,82.0,198,2017,Elle Fanning,Naomi Watts,Susan Sarandon,Gaby Dellal,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2.0,0.0,5.0,1.0,367.0,6000.0,367.0,0.0,0.0,0.0,232.0,0.0
Song to Song,32.0,127,44.0,2702,2017,Ryan Gosling,Rooney Mara,Michael Fassbender,Terrence Malick,129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,0.0,2.0,0.0,33000.0,367.0,13000.0,2.0,0.0,87.0,0.0,0.0
Okja,43.0,225,37.0,6631,2017,Tilda Swinton,Paul Dano,Seo-hyeon Ahn,Bong Joon Ho,118,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,1.0,1.0,0.0,232.0,0.0
Wilson,86.0,130,81.0,10382,2017,Woody Harrelson,Laura Dern,Cheryl Hines,Craig Johnson,94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1.0,0.0,0.0,367.0,367.0,541.0,0.0,0.0,0.0,7.0,0.0
CHIPS,48.0,110,30.0,2527,2017,Dax Shepard,Michael Pea,Adam Brody,Dax Shepard,101,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Awakening the Zodiac,18.0,12,45.0,11845,2017,Shane West,Leslie Bibb,Matt Craven,Jonathan Wright,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,1000.0,256.0,0.0,0.0,0.0,232.0,0.0
Dirty Dancing,42.0,21,33.0,370,2017,Abigail Breslin,Colt Prattes,Sarah Hyland,Wayne Blair,180,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Rainbow Time,67.0,15,54.0,33424,2016,Melanie Lynskey,Linas Phillips,Timm Sharp,Linas Phillips,91,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Vincent N Roxxy,67.0,17,48.0,65,2017,Emile Hirsch,Zo Kravitz,Emory Cohen,Gary Michael Schultz,102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
T2 Trainspotting,41.0,246,66.0,251,2017,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Danny Boyle,118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,557.0,367.0,1.0,1.0,148.0,0.0,0.0
Correspondence (La corrispondenza),81.0,7,78.0,16159,2016,Jeremy Irons,James Warren,Olga Kurylenko,Giuseppe Tornatore,116,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,89.0,911.0,0.0
The Zookeeper's Wife,14.0,177,35.0,76,2017,Jessica Chastain,Daniel Brhl,Johan Heldenbergh,Niki Caro,126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,0.0,0.0,0.0,51.0,0.0
The Belko Experiment,63.0,104,76.0,12736,2017,John Gallagher Jr.,Adria Arjona,Tony Goldwyn,Greg McLean,82,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,338.0,367.0,956.0,0.0,0.0,0.0,232.0,0.0
The Autopsy of Jane Doe,53.0,102,40.0,9517,2016,Emile Hirsch,Olwen Kelly,Michael McElhatton,Andr Ovredal,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,415.0,0.0,0.0,0.0,232.0,0.0
Railroad Tigers,86.0,34,70.0,12133,2017,Jackie Chan,Huang Zitao,Zitao Huang,Sheng Ding,125,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Everybody Loves Somebody,38.0,18,46.0,444,2017,Karla Souza,Jose Mara Yazpik,K.C. Clyde,Catalina Aguilar Mastretta,100,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Berlin Syndrome,100.0,87,68.0,299,2017,Teresa Palmer,Max Riemelt,Emma Bading,Cate Shortland,116,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,287.0,367.0,0.0,0.0,0.0,232.0,0.0
This Beautiful Fantastic,75.0,23,53.0,4408,2017,Tom Wilkinson,Andrew Scott,Jeremy Irvine,Simon Aboud,92,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2.0,0.0,0.0,0.0,0.0,0.0,1000.0,367.0,25000.0,0.0,0.0,0.0,232.0,0.0
2:22,61.0,9,73.0,497,2017,Michiel Huisman,Teresa Palmer,Sam Reid,Paul Currie,99,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,367.0,212.0,0.0,0.0,0.0,232.0,0.0
Drone,22.0,11,37.0,579,2017,Sean Bean,Mary McCormack,Patrick Sabongui,Jason Bourque,91,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,428.0,367.0,0.0,0.0,0.0,232.0,0.0
The Lego Batman Movie,21.0,306,35.0,3909,2017,Will Arnett,Zach Galifianakis,Michael Cera,Chris McKay,90,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Beauty and the Beast,90.0,368,80.0,46349,2017,Emma Watson,Dan Stevens (IV),Luke Evans,Bill Condon,129,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,367.0,367.0,0.0,0.0,0.0,386.0,0.0
A Cure For Wellness,71.0,204,80.0,86223,2017,Dane DeHaan,Jason Isaacs,Mia Goth,Gore Verbinski,146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,563.0,0.0
The Shack,42.0,72,41.0,11489,2017,Sam Worthington,Octavia Spencer,Aviv Alush,Stuart Hazeldine,132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,3.0,1.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,17.0,0.0
The Blackcoat's Daughter (February),21.0,67,77.0,16391,2017,Emma Roberts,Kiernan Shipka,Lucy Boynton,Oz Perkins,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,552.0,135.0,0.0,0.0,0.0,232.0,0.0
Land of Mine (Under Sandet),73.0,104,48.0,4650,2017,Roland Mller,Mikkel Boe Flsgaard,Louis Hofmann,Martin Zandvliet,110,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Aftermath,91.0,53,89.0,4945,2014,Edward Furlong,Monica Keena,Andre Royo,Peter Engert,92,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,512.0,367.0,0.0,0.0,0.0,232.0,0.0
Alone in Berlin,42.0,52,25.0,3028,2017,Emma Thompson,Brendan Gleeson,Daniel Brhl,Vincent Perez (III),97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.0,1.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
John Wick: Chapter 2,58.0,268,49.0,544,2017,Keanu Reeves,John Leguizamo,Bridget Moynahan,Chad Stahelski,122,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,367.0,367.0,0.0,0.0,3.0,232.0,0.0
The Ticket,89.0,34,85.0,56353,2017,Dan Stevens (IV),Malin Akerman,Kerry Bish,Ido Fluk,97,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Assignment,17.0,59,45.0,1255,2017,Michelle Rodriguez,Tony Shalhoub,Anthony LaPaglia,Walter Hill,95,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,577.0,0.0,0.0,27.0,394.0,0.0
Operation Mekong,34.0,9,21.0,471,2016,Eddie Peng,Hanyu Zhang,Carl Ng,Dante Lam,124,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,367.0,367.0,0.0,0.0,27.0,232.0,0.0
Headshot,78.0,47,59.0,774,2017,Iko Uwais,Chelsea Islan,Julie Estelle,Kimo Stamboel,117,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Voice from the Stone,72.0,25,57.0,1605,2017,Emilia Clarke,Marton Csokas,Caterina Murino,Eric D. Howell,94,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Bitter Harvest,8.0,60,35.0,376,2017,Max Irons,Samantha Barks,Barry Pepper,George Mendeluk,103,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,2000.0,367.0,0.0,0.0,0.0,232.0,0.0
The Last Word,15.0,93,67.0,1506,2017,Shirley MacLaine,Amanda Seyfried,Anne Heche,Mark Pellington,107,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5.0,1.0,0.0,0.0,0.0,0.0,367.0,367.0,643.0,0.0,0.0,0.0,89.0,0.0
Un Padre No Tan Padre,40.0,8,63.0,2470,2017,Hctor Bonilla,Benny Ibarra,Jacqueline Bracamontes,Raul Martinez,94,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Enter The Warriors Gate (Warrior's Gate),75.0,8,86.0,896,2017,Mark Chao,Ni Ni,Dave Bautista,Matthias Hoene,108,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,196.0,367.0,0.0,0.0,0.0,232.0,0.0
Journey to the West: The Demons Strike Back,50.0,12,41.0,225,2017,Kris Wu,Lin Gengxin,Yao Chen,Hark Tsui,109,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,85.0,0.0
96 Souls,58.0,6,48.0,594,2017,Grinnell Morris,Sid Veda,Paul Statman,Stanley Jacobs,112,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Be Afraid,0.0,12,95.0,140,2017,Brian Krause,Kevin Grevioux,Louis Herthum,Drew Gabreski,99,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,593.0,157.0,0.0,0.0,0.0,232.0,0.0
Shimmer Lake,17.0,10,29.0,108,2017,Benjamin Walker,Rainn Wilson,Stephanie Sigman,Oren Uziel,83,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,973.0,161.0,0.0,0.0,0.0,232.0,0.0
Burning Annie,88.0,8,80.0,98,2003,Gary Lundy,Sara Downing,Kim Murphy,Van Flesher,95,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
xXx: Return of Xander Cage,50.0,141,38.0,95,2017,Vin Diesel,Donnie Yen,Deepika Padukone,D.J. Caruso,110,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,367.0,367.0,0.0,0.0,0.0,154.0,0.0
Resident Evil: The Final Chapter,45.0,100,37.0,25211,2017,Milla Jovovich,Ali Larter,Iain Glen,Paul W.S. Anderson,106,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,367.0,367.0,0.0,0.0,0.0,545.0,0.0
Logan,37.0,405,48.0,59456,2017,Hugh Jackman,Patrick Stewart,Boyd Holbrook,James Mangold,135,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,20000.0,367.0,439.0,0.0,0.0,9.0,446.0,0.0
Fifty Shades Darker,93.0,196,90.0,92432,2017,Dakota Johnson,Jamie Dornan,Eric Johnson,James Foley,115,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,373.0,0.0,0.0,6.0,164.0,0.0
Welcome To Happiness,12.0,16,48.0,27531,2016,Kyle Gallner,Keegan-Michael Key,Olivia Thirlby,Oliver Thompson,108,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,415.0,367.0,0.0,0.0,0.0,232.0,0.0
Dheepan,31.0,121,57.0,113,2016,Jesuthasan Anthonythasan,Kalieaswari Srinivasan,Claudine Vinasithamby,Jacques Audiard,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,95.0,232.0,0.0
Urban Hymn,71.0,26,60.0,725,2017,Shirley Henderson,Steven Mackintosh,Ian Hart,Michael Caton-Jones,114,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,227.0,261.0,0.0,0.0,0.0,105.0,0.0
The Space Between Us,58.0,134,77.0,70,2017,Gary Oldman,Asa Butterfield,Carla Gugino,Peter Chelsom,120,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,1.0,0.0,0.0,0.0,0.0,10000.0,367.0,367.0,0.0,0.0,0.0,23.0,0.0
A Street Cat Named Bob,16.0,64,55.0,14375,2016,Luke Treadaway,Ruta Gedmintas,Joanne Froggatt,Roger Spottiswoode,103,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,367.0,367.0,0.0,0.0,0.0,55.0,0.0
The Great Wall,24.0,227,40.0,13613,2017,Matt Damon,Tian Jing,Pedro Pascal,Yimou Zhang,104,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,13000.0,367.0,367.0,0.0,0.0,0.0,611.0,0.0
Between Us,36.0,8,42.0,23687,2017,Olivia Thirlby,Ben Feldman,Adam Goldberg,Rafael Palacio Illingworth,93,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,1000.0,1000.0,0.0,0.0,0.0,232.0,0.0
My Life as a Zucchini (Ma vie de courgette),93.0,134,56.0,248,2017,Will Forte,Nick Offerman,Ellen Page,Claude Barras,66,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,622.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Before I Fall,99.0,121,88.0,6509,2017,Zoey Deutch,Halston Sage,Kian Lawley,Ry Russo-Young,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Rock Dog,64.0,57,57.0,9182,2017,J.K. Simmons,Luke Wilson,Eddie Izzard,Ash Brannon,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,24000.0,367.0,776.0,0.0,0.0,0.0,9.0,0.0
Hounds of Love,47.0,97,47.0,3033,2017,Emma Booth,Ashleigh Cummings,Stephen Curry,Ben Young,108,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Get Out,88.0,372,70.0,2007,2017,Daniel Kaluuya,Allison Williams,Catherine Keener,Jordan Peele,104,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,2.0,0.0,219.0,367.0,367.0,1.0,0.0,0.0,232.0,0.0
